Date,Open,High,Low,Close,Volume
2010-01-04,49.38,51.15,49.38,50.98,1524047
2010-01-05,51.06,51.78,50.79,51.0,1666045
2010-01-06,51.0,52.37,50.56,51.89,2130241
2010-01-07,51.39,52.69,50.29,52.35,1491342
2010-01-08,51.6,53.35,51.38,53.25,1374788
2010-01-11,53.7,54.03,51.75,52.28,1214389
2010-01-12,51.29,51.99,50.76,51.14,1345694
2010-01-13,51.46,52.0,49.93,51.9,1302653
2010-01-14,51.69,52.7,51.51,52.53,793996
2010-01-15,52.28,52.68,50.19,50.53,2090272
2010-01-19,51.9,52.19,48.93,50.26,3115115
2010-01-20,49.26,49.77,48.56,49.53,1492967
2010-01-21,49.52,50.4,47.72,48.13,1556051
2010-01-22,47.82,48.22,46.44,46.53,1840711
2010-01-25,47.14,48.12,46.87,46.92,1276811
2010-01-26,46.44,47.52,45.8,45.94,1624419
2010-01-27,46.0,46.24,44.5,45.4,1968879
2010-01-28,45.71,46.09,43.88,45.23,1356966
2010-01-29,45.78,46.6,43.61,43.98,1933213
2010-02-01,44.57,45.93,44.55,45.84,1320255
2010-02-02,46.09,47.07,45.39,46.78,1666274
2010-02-03,46.65,47.54,45.58,45.87,1989813
2010-02-04,45.69,45.69,44.0,44.12,2793617
2010-02-05,44.11,44.16,41.88,43.62,2851795
2010-02-08,43.53,44.67,43.01,44.27,2495698
2010-02-09,45.28,46.85,44.86,46.31,2468709
2010-02-10,46.2,46.2,44.58,45.37,3295246
2010-02-11,45.3,47.45,45.11,47.33,1634542
2010-02-12,46.43,47.36,45.72,47.1,1603727
2010-02-16,47.79,48.89,47.79,48.8,1010667
2010-02-17,48.81,49.24,48.05,48.73,918832
2010-02-18,48.61,49.31,48.32,49.26,1306877
2010-02-19,47.84,49.64,47.84,49.49,1660256
2010-02-22,49.69,49.73,47.89,48.02,1979728
2010-02-23,47.91,48.25,46.07,46.18,2342239
2010-02-24,46.05,47.02,45.82,46.3,1868354
2010-02-25,45.56,46.83,44.57,46.67,1877528
2010-02-26,45.93,46.79,45.44,46.65,1729193
2010-03-01,46.93,47.59,46.74,47.15,1437896
2010-03-02,47.24,48.37,47.24,47.84,1541164
2010-03-03,48.01,48.95,47.89,48.0,1287370
2010-03-04,48.01,48.51,47.38,47.69,1290036
2010-03-05,48.29,49.15,48.11,48.98,1329281
2010-03-08,48.94,49.48,48.45,48.54,1282009
2010-03-09,48.31,49.8,48.07,49.43,1809593
2010-03-10,49.22,51.16,49.04,50.97,2757697
2010-03-11,50.74,51.32,50.25,51.09,1793120
2010-03-12,51.56,52.85,51.5,52.78,2565024
2010-03-15,52.41,52.57,51.14,52.1,1663857
2010-03-16,52.49,53.88,52.16,53.75,1715103
2010-03-17,54.02,54.49,53.13,53.29,1675882
2010-03-18,53.11,53.23,52.09,53.07,2541439
2010-03-19,53.05,53.38,51.84,53.03,2468208
2010-03-22,52.23,52.9,51.64,52.6,1299078
2010-03-23,52.04,54.15,52.04,53.79,1810464
2010-03-24,53.23,54.32,53.01,53.9,1484531
2010-03-25,54.53,55.0,53.19,53.36,1695860
2010-03-26,53.18,53.39,52.14,52.84,1683605
2010-03-29,53.3,54.45,53.17,54.42,914317
2010-03-30,54.43,54.86,53.61,54.73,901211
2010-03-31,54.46,56.88,54.46,56.32,1675408
2010-04-01,56.94,59.17,56.94,59.15,2004151
2010-04-05,59.63,61.44,59.36,61.4,2250952
2010-04-06,61.28,62.38,60.59,60.96,2272477
2010-04-07,61.02,61.23,59.16,59.58,2528410
2010-04-08,59.01,60.58,58.48,60.21,1531753
2010-04-09,60.91,61.62,60.24,60.99,1470106
2010-04-12,61.02,61.85,60.58,60.84,1940253
2010-04-13,61.73,62.46,60.31,62.02,3415262
2010-04-14,62.56,62.83,61.69,62.69,2050988
2010-04-15,62.71,63.37,62.24,62.39,1638185
2010-04-16,61.77,62.24,60.3,60.74,2456688
2010-04-19,60.21,61.55,59.74,61.4,1661852
2010-04-20,62.05,63.5,61.98,63.3,1538334
2010-04-21,63.01,63.63,62.41,63.28,1300624
2010-04-22,62.01,64.9,62.01,64.8,1594487
2010-04-23,64.51,66.24,64.07,66.09,1833199
2010-04-26,66.15,66.82,65.82,66.09,930508
2010-04-27,65.35,65.46,62.28,62.55,2166466
2010-04-28,63.2,63.45,61.54,63.14,1543684
2010-04-29,63.71,64.36,62.64,63.92,1414916
2010-04-30,64.15,66.15,63.74,64.13,1861569
2010-05-03,64.71,66.96,64.54,66.23,1631111
2010-05-04,64.51,64.75,62.91,64.13,2243351
2010-05-05,61.15,63.44,60.0,62.86,3300019
2010-05-06,61.66,63.55,56.91,61.43,3229907
2010-05-07,61.34,61.72,57.13,58.5,3241750
2010-05-10,61.86,64.09,61.42,63.89,3542572
2010-05-11,63.0,65.47,62.93,63.85,3759004
2010-05-12,64.76,66.04,64.35,65.5,2881882
2010-05-13,65.15,66.49,64.65,64.82,2087592
2010-05-14,63.93,64.26,61.7,62.91,2747651
2010-05-17,62.91,63.81,59.0,60.93,3079979
2010-05-18,62.16,62.9,60.11,60.52,2680348
2010-05-19,60.16,60.69,57.7,59.53,2753108
2010-05-20,57.43,58.09,55.93,56.4,4160762
2010-05-21,54.72,59.55,54.72,59.45,3800493
2010-05-24,58.95,60.15,57.97,58.08,2615374
2010-05-25,55.97,58.73,55.77,58.6,3146743
2010-05-26,59.84,61.54,59.55,60.0,3064997
2010-05-27,62.07,63.49,61.69,63.49,2082856
2010-05-28,63.15,65.23,62.92,63.7,2924745
2010-06-01,62.38,64.15,61.62,61.74,2407378
2010-06-02,62.39,65.78,61.9,65.78,2638278
2010-06-03,66.03,67.89,64.43,67.51,3416114
2010-06-04,66.35,66.94,62.55,63.24,3727107
