,Ticker symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,CIK
33,AEP,American Electric Power,reports,Utilities,Electric Utilities,"Columbus, Ohio",,0000004904
34,AXP,American Express Co,reports,Financials,Consumer Finance,"New York, New York",1976-06-30,0000004962
35,AIG,"American International Group, Inc.",reports,Financials,Property & Casualty Insurance,"New York, New York",1980-03-31,0000005272
36,AMT,American Tower Corp A,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",2007-11-19,0001053507
37,AWK,American Water Works Company Inc,reports,Utilities,Water Utilities,"Voorhees, New Jersey",2016-03-04,0001410636
38,AMP,Ameriprise Financial,reports,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",2005-10-03,0000820027
39,ABC,AmerisourceBergen Corp,reports,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",2001-08-30,0001140859
40,AME,AMETEK Inc,reports,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",2013-09-23,0001037868
41,AMGN,Amgen Inc,reports,Health Care,Biotechnology,"Thousand Oaks, California",1992-01-02,0000318154
42,APH,Amphenol Corp,reports,Information Technology,Electronic Components,"Wallingford, Connecticut",2008-09-30,0000820313
43,APC,Anadarko Petroleum Corp,reports,Energy,Oil & Gas Exploration & Production,"The Woodlands, Texas",,0000773910
44,ADI,"Analog Devices, Inc.",reports,Information Technology,Semiconductors,"Norwood, Massachusetts",,0000006281
45,ANSS,ANSYS Inc,reports,Information Technology,Application Software,"Canonsburg, Pennsylvania",2017-06-19,0001013462
46,ANTM,Anthem Inc.,reports,Health Care,Managed Health Care,"Indianapolis, Indiana",,0001156039
47,AON,Aon plc,reports,Financials,Insurance Brokers,"London, United Kingdom",,0000315293
48,APA,Apache Corporation,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,0000006769
49,AIV,Apartment Investment & Management,reports,Real Estate,Residential REITs,"Denver, Colorado",,0000922864
50,AAPL,Apple Inc.,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,0000320193
51,AMAT,Applied Materials Inc,reports,Information Technology,Semiconductor Equipment,"Santa Clara, California",,0000006951
52,ADM,Archer-Daniels-Midland Co,reports,Consumer Staples,Agricultural Products,"Decatur, Illinois",1981-07-29,0000007084
53,ARNC,Arconic Inc,reports,Industrials,Aerospace & Defense,"New York, New York",1964-03-31,0000004281
54,AJG,Arthur J. Gallagher & Co.,reports,Financials,Insurance Brokers,"Itasca, Illinois",2016-05-31,0000354190
55,AIZ,Assurant Inc,reports,Financials,Multi-line Insurance,"New York, New York",2007-04-10,0001267238
56,T,AT&T Inc,reports,Telecommunication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30,0000732717
57,ADSK,Autodesk Inc,reports,Information Technology,Application Software,"San Rafael, California",1989-12-01,0000769397
58,ADP,Automatic Data Processing,reports,Information Technology,Internet Software & Services,"Roseland, New Jersey",1981-03-31,0000008670
59,AN,AutoNation Inc,reports,Consumer Discretionary,Specialty Stores,"Fort Lauderdale, Florida",,0000350698
60,AZO,AutoZone Inc,reports,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",,0000866787
61,AVB,"AvalonBay Communities, Inc.",reports,Real Estate,Residential REITs,"Arlington, Virginia[3]",2007-01-10,0000915912
62,AVY,Avery Dennison Corp,reports,Materials,Paper Packaging,"Glendale, California",1987-12-31,0000008818
63,BHGE,Baker Hughes Inc,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,0001701605
64,BLL,Ball Corp,reports,Materials,Metal & Glass Containers,"Broomfield, Colorado",1984-10-31,0000009389
65,BAC,Bank of America Corp,reports,Financials,Diversified Banks,"Charlotte, North Carolina",1976-06-30,0000070858
66,BK,The Bank of New York Mellon Corp.,reports,Financials,Asset Management & Custody Banks,"New York, New York",,0001390777
67,BCR,Bard (C.R.) Inc.,reports,Health Care,Health Care Equipment,"Murray Hill, New Jersey",1975-06-30,0000009892
68,BAX,Baxter International Inc.,reports,Health Care,Health Care Equipment,"Deerfield, Illinois",1972-09-30,0000010456
69,BBT,BB&T Corporation,reports,Financials,Regional Banks,"Winston-Salem, North Carolina",,0000092230
70,BDX,Becton Dickinson,reports,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30,0000010795
71,BBBY,Bed Bath & Beyond,reports,Consumer Discretionary,Specialty Stores,"Union, New Jersey",,0000886158
72,BRK.B,Berkshire Hathaway,reports,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2010-02-16,0001067983
73,BBY,Best Buy Co. Inc.,reports,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",1999-06-29,0000764478
74,BIIB,Biogen Inc.,reports,Health Care,Biotechnology,"Weston, Massachusetts",,0000875045
75,BLK,BlackRock,reports,Financials,Asset Management & Custody Banks,"New York, New York",2011-04-04,0001364742
76,HRB,Block H&R,reports,Financials,Consumer Finance,"Kansas City, Missouri",1986-11-30,0000012659
77,BA,Boeing Company,reports,Industrials,Aerospace & Defense,"Chicago, Illinois",,0000012927
78,BWA,BorgWarner,reports,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",2011-12-19,0000908255
79,BXP,Boston Properties,reports,Real Estate,Office REITs,"Boston, Massachusetts",2006-04-03,0001037540
80,BSX,Boston Scientific,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]",1995-02-24,0000885725
81,BMY,Bristol-Myers Squibb,reports,Health Care,Health Care Distributors,"New York, New York",,0000014272
82,AVGO,Broadcom,reports,Information Technology,Semiconductors,"San Jose, California",2014-05-08,0001441634
83,BF.B,Brown-Forman Corp.,reports,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",1982-10-31,0000014693
84,CHRW,C. H. Robinson Worldwide,reports,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",2007-03-02,0001043277
85,CA,"CA, Inc.",reports,Information Technology,Systems Software,"Islandia, New York",1987-07-31,0000356028
86,COG,Cabot Oil & Gas,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2008-06-23,0000858470
87,CPB,Campbell Soup,reports,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",,0000016732
88,COF,Capital One Financial,reports,Financials,Consumer Finance,"Tysons Corner, Virginia",,0000927628
89,CAH,Cardinal Health Inc.,reports,Health Care,Health Care Distributors,"Dublin, Ohio",,0000721371
90,CBOE,CBOE Holdings,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",2017-03-01,0001374310
91,KMX,Carmax Inc,reports,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",2010-06-28,0001170010
92,CCL,Carnival Corp.,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",,0000815097
93,CAT,Caterpillar Inc.,reports,Industrials,Construction Machinery & Heavy Trucks,"Peoria, Illinois",,0000018230
94,CBG,CBRE Group,reports,Real Estate,Real Estate Services,"Los Angeles, California",2006-11-10,0001138118
95,CBS,CBS Corp.,reports,Consumer Discretionary,Broadcasting,"New York, New York",1994-09-01,0000813828
96,CELG,Celgene Corp.,reports,Health Care,Biotechnology,"Summit, New Jersey",2006-11-06,0000816284
97,CNC,Centene Corporation,reports,Health Care,Managed Health Care,"St Louis, Missouri",2016-03-30,0001071739
98,CNP,CenterPoint Energy,reports,Utilities,Multi-Utilities,"Houston, Texas",1985-07-31,0001130310
99,CTL,CenturyLink Inc,reports,Telecommunication Services,Integrated Telecommunication Services,"Monroe, Louisiana",,0000018926
100,CERN,Cerner,reports,Health Care,Health Care Technology,"North Kansas City, Missouri",2010-04-30,0000804753
101,CF,CF Industries Holdings Inc,reports,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",2008-08-27,0001324404
102,SCHW,Charles Schwab Corporation,reports,Financials,Investment Banking & Brokerage,"San Francisco, California",,0000316709
103,CHTR,Charter Communications,reports,Consumer Discretionary,Cable & Satellite,"Stamford, Connecticut",2016-09-08,0001091667
104,CHK,Chesapeake Energy,reports,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",,0000895126
105,CVX,Chevron Corp.,reports,Energy,Integrated Oil & Gas,"San Ramon, California",,0000093410
106,CMG,Chipotle Mexican Grill,reports,Consumer Discretionary,Restaurants,"Denver, Colorado",2011-04-28,0001058090
107,CB,Chubb Limited,reports,Financials,Property & Casualty Insurance,"Zurich, Switzerland",2010-07-15,0000896159
108,CHD,Church & Dwight,reports,Consumer Staples,Household Products,"Ewing, New Jersey",2015-12-29,0000313927
109,CI,CIGNA Corp.,reports,Health Care,Managed Health Care,"Philadelphia, Pennsylvania",1976-06-30,0000701221
110,XEC,Cimarex Energy,reports,Energy,Oil & Gas Exploration & Production,"Denver, Colorado",2014-06-21,0001168054
111,CINF,Cincinnati Financial,reports,Financials,Property & Casualty Insurance,"Fairfield, Ohio",,0000020286
112,CTAS,Cintas Corporation,reports,Industrials,Diversified Support Services,"Mason, Ohio",2001-03-01,0000723254
113,CSCO,Cisco Systems,reports,Information Technology,Communications Equipment,"San Jose, California",1993-12-01,0000858877
114,C,Citigroup Inc.,reports,Financials,Diversified Banks,"New York, New York",1988-05-31,0000831001
115,CFG,Citizens Financial Group,reports,Financials,Regional Banks,"Providence, Rhode Island",2016-01-29,0000759944
116,CTXS,Citrix Systems,reports,Information Technology,Internet Software & Services,"Fort Lauderdale, Florida",,0000877890
117,CLX,The Clorox Company,reports,Consumer Staples,Household Products,"Oakland, California",1969-03-31,0000021076
118,CME,CME Group Inc.,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",,0001156375
119,CMS,CMS Energy,reports,Utilities,Multi-Utilities,"Jackson, Michigan",,0000811156
120,COH,Coach Inc.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",,0001116132
121,KO,Coca-Cola Company (The),reports,Consumer Staples,Soft Drinks,"Atlanta, Georgia",,0000021344
122,CTSH,Cognizant Technology Solutions,reports,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",2006-11-17,0001058290
123,CL,Colgate-Palmolive,reports,Consumer Staples,Household Products,"New York, New York",,0000021665
124,CMCSA,Comcast Corp.,reports,Consumer Discretionary,Cable & Satellite,"Philadelphia, Pennsylvania",2015-09-18,0001166691
125,CMA,Comerica Inc.,reports,Financials,Diversified Banks,"Dallas, Texas",,0000028412
126,CAG,Conagra Brands,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1983-08-31,0000023217
127,CXO,Concho Resources,reports,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2016-02-22,0001358071
128,COP,ConocoPhillips,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,0001163165
129,ED,Consolidated Edison,reports,Utilities,Electric Utilities,"New York, New York",,0001047862
130,STZ,Constellation Brands,reports,Consumer Staples,Distillers & Vintners,"Victor, New York",2005-07-05,0000016918
131,COO,The Cooper Companies,reports,Health Care,Health Care Supplies,"Pleasanton, California",2016-09-23,0000711404
132,GLW,Corning Inc.,reports,Information Technology,Electronic Components,"Corning, New York",,0000024741
133,COST,Costco Wholesale Corp.,reports,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",1993-10-01,0000909832
134,COTY,"Coty, Inc",reports,Consumer Staples,Personal Products,"New York, NY",2016-10-03,0001024305
135,CCI,Crown Castle International Corp.,reports,Real Estate,Specialized REITs,"Houston, Texas",2012-03-14,0001051470
136,CSRA,CSRA Inc.,reports,Information Technology,IT Consulting & Other Services,"Falls Church, Virginia",2015-12-01,0001646383
137,CSX,CSX Corp.,reports,Industrials,Railroads,"Jacksonville, Florida",1967-09-30,0000277948
138,CMI,Cummins Inc.,reports,Industrials,Industrial Machinery,"Columbus, Indiana",1965-03-31,0000026172
139,CVS,CVS Health,reports,Consumer Staples,Drug Retail,"Woonsocket, Rhode Island",,0000064803
140,DHI,D. R. Horton,reports,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",,0000882184
141,DHR,Danaher Corp.,reports,Health Care,Health Care Equipment,"Washington, D.C.",,0000313616
142,DRI,Darden Restaurants,reports,Consumer Discretionary,Restaurants,"Orlando, Florida",,0000940944
143,DVA,DaVita Inc.,reports,Health Care,Health Care Facilities,"Denver, Colorado",2008-07-31,0000927066
144,DE,Deere & Co.,reports,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",,0000315189
145,DLPH,Delphi Automotive PLC,reports,Consumer Discretionary,Auto Parts & Equipment,"Gillingham, Kent, United Kingdom",2012-12-24,0001521332
146,DAL,Delta Air Lines Inc.,reports,Industrials,Airlines,"Atlanta, Georgia",2013-09-11,0000027904
147,XRAY,Dentsply Sirona,reports,Health Care,Health Care Supplies,"York, Pennsylvania",2008-11-14,0000818479
148,DVN,Devon Energy Corp.,reports,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",2000-08-30,0001090012
149,DLR,Digital Realty Trust Inc,reports,Real Estate,Specialized REITs,"San Francisco, California",2016-05-18,0001297996
150,DFS,Discover Financial Services,reports,Financials,Consumer Finance,"Riverwoods, Illinois",2007-07-02,0001393612
151,DISCA,Discovery Communications-A,reports,Consumer Discretionary,Cable & Satellite,"Silver Spring, Maryland",2010-03-01,0001437107
152,DISCK,Discovery Communications-C,reports,Consumer Discretionary,Cable & Satellite,"Silver Spring, Maryland",2014-08-07,0001437107
153,DISH,Dish Network,reports,Consumer Discretionary,Cable & Satellite,"Meridian, Colorado",2017-03-13,0001001082
154,DG,Dollar General,reports,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",2012-12-03,0000029534
155,DLTR,Dollar Tree,reports,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",2011-12-19,0000935703
156,D,Dominion Resources,reports,Utilities,Electric Utilities,"Richmond, Virginia",,0000715957
157,DOV,Dover Corp.,reports,Industrials,Industrial Machinery,"Downers Grove, Illinois",1985-10-31,0000029905
158,DOW,Dow Chemical,reports,Materials,Diversified Chemicals,"Midland, Michigan",,0000029915
159,DPS,Dr Pepper Snapple Group,reports,Consumer Staples,Soft Drinks,"Plano, Texas",2008-10-07,0001418135
160,DTE,DTE Energy Co.,reports,Utilities,Multi-Utilities,"Detroit, Michigan",,0000936340
161,DD,Du Pont (E.I.),reports,Materials,Diversified Chemicals,"Wilmington, Delaware",,0000030554
162,DUK,Duke Energy,reports,Utilities,Electric Utilities,"Charlotte, North Carolina",1976-06-30,0001326160
163,DXC,DXC Technology,reports,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",2017-04-04,0001688568
164,ETFC,E*Trade,reports,Financials,Investment Banking & Brokerage,"New York, New York",2004-03-31,0001015780
165,EMN,Eastman Chemical,reports,Materials,Diversified Chemicals,"Kingsport, Tennessee",1994-01-01,0000915389
166,ETN,Eaton Corporation,reports,Industrials,Electrical Components & Equipment,"Dublin, Ireland",,0001551182
167,EBAY,eBay Inc.,reports,Information Technology,Internet Software & Services,"San Jose, California",,0001065088
168,ECL,Ecolab Inc.,reports,Materials,Specialty Chemicals,"St. Paul, Minnesota",1989-01-31,0000031462
169,EIX,Edison Int'l,reports,Utilities,Electric Utilities,"Rosemead, California",,0000827052
170,EW,Edwards Lifesciences,reports,Health Care,Health Care Equipment,"Irvine, California",2011-04-01,0001099800
171,EA,Electronic Arts,reports,Information Technology,Home Entertainment Software,"Redwood City, California",2002-07-22,0000712515
172,EMR,Emerson Electric Company,reports,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",1965-03-31,0000032604
173,ETR,Entergy Corp.,reports,Utilities,Electric Utilities,"New Orleans, Louisiana",,0000065984
174,EVHC,Envision Healthcare,reports,Health Care,Health Care Services,"Nashville, Tennessee",2016-12-02,0000895930
175,EOG,EOG Resources,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2000-11-02,0000821189
176,EQT,EQT Corporation,reports,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",2008-12-19,0000033213
177,EFX,Equifax Inc.,reports,Industrials,Research & Consulting Services,"Atlanta, Georgia",1997-06-19,0000033185
178,EQIX,Equinix,reports,Real Estate,Specialized REITs,"Redwood City, California",2015-03-20,0001101239
179,EQR,Equity Residential,reports,Real Estate,Residential REITs,"Chicago, Illinois",2001-12-03,0000906107
180,ESS,"Essex Property Trust, Inc.",reports,Real Estate,Residential REITs,"Palo Alto, California",2014-04-02,0000920522
181,EL,Estee Lauder Cos.,reports,Consumer Staples,Personal Products,"New York, New York",2006-01-05,0001001250
182,ES,Eversource Energy,reports,Utilities,Multi-Utilities,"Springfield, Massachusetts",,0000072741
183,RE,Everest Re Group Ltd,reports,Financials,Reinsurance,"Hamilton, Bermuda",2017-06-19,0001095073
184,EXC,Exelon Corp.,reports,Utilities,Multi-Utilities,"Chicago, Illinois",,0001109357
185,EXPE,Expedia Inc.,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Bellevue, Washington",2007-10-02,0001324424
186,EXPD,Expeditors International,reports,Industrials,Air Freight & Logistics,"Seattle, Washington",2007-10-10,0000746515
187,ESRX,Express Scripts,reports,Health Care,Health Care Distributors,"Cool Valley, Missouri",2003-09-25,0001532063
188,EXR,Extra Space Storage,reports,Real Estate,Specialized REITs,"Salt Lake City, Utah",2016-01-19,0001289490
189,XOM,Exxon Mobil Corp.,reports,Energy,Integrated Oil & Gas,"Irving, Texas",,0000034088
190,FFIV,F5 Networks,reports,Information Technology,Communications Equipment,"Seattle, Washington",2010-12-20,0001048695
191,FB,"Facebook, Inc.",reports,Information Technology,Internet Software & Services,"Menlo Park, California",2013-12-23,0001326801
192,FAST,Fastenal Co,reports,Industrials,Building Products,"Winona, Minnesota",2009-09-15,0000815556
193,FRT,Federal Realty Investment Trust,reports,Real Estate,Retail REITs,"Rockville, Maryland",2016-02-01,0000034903
194,FDX,FedEx Corporation,reports,Industrials,Air Freight & Logistics,"Memphis, Tennessee",1980-12-31,0001048911
195,FIS,Fidelity National Information Services,reports,Information Technology,Internet Software & Services,"Jacksonville, Florida",2006-11-10,0001136893
196,FITB,Fifth Third Bancorp,reports,Financials,Regional Banks,"Cincinnati, Ohio",,0000035527
197,FE,FirstEnergy Corp,reports,Utilities,Electric Utilities,"Akron, Ohio",,0001031296
198,FISV,Fiserv Inc,reports,Information Technology,Internet Software & Services,"Brookfield, Wisconsin",2001-04-02,0000798354
199,FLIR,FLIR Systems,reports,Information Technology,Electronic Equipment & Instruments,"Wilsonville, Oregon",2009-01-02,0000354908
200,FLS,Flowserve Corporation,reports,Industrials,Industrial Machinery,"Irving, Texas",2008-10-02,0000030625
201,FLR,Fluor Corp.,reports,Industrials,Construction & Engineering,"Irving, Texas",1980-03-31,0001124198
202,FMC,FMC Corporation,reports,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",2009-08-19,0000037785
203,FL,Foot Locker Inc,reports,Consumer Discretionary,Apparel Retail,"New York, New York",2016-04-04,0000850209
204,F,Ford Motor,reports,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",,0000037996
205,FTV,Fortive Corp,reports,Industrials,Industrial Machinery,"Everett, Washington",2016-07-01,0001659166
206,FBHS,Fortune Brands Home & Security,reports,Industrials,Building Products,"Deerfield, Illinois",2016-06-22,0001519751
207,BEN,Franklin Resources,reports,Financials,Asset Management & Custody Banks,"San Mateo, California",,0000038777
208,FCX,Freeport-McMoRan Inc.,reports,Materials,Copper,"Phoenix, Arizona",,0000831259
209,GPS,Gap Inc.,reports,Consumer Discretionary,Apparel Retail,"San Francisco, California",1986-08-31,0000039911
210,GRMN,Garmin Ltd.,reports,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,0001121788
211,IT,Gartner Inc,reports,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",2017-04-05,0000749251
212,GD,General Dynamics,reports,Industrials,Aerospace & Defense,"Falls Church, Virginia",,0000040533
213,GE,General Electric,reports,Industrials,Industrial Conglomerates,"Fairfield, Connecticut",,0000040545
214,GGP,General Growth Properties Inc.,reports,Real Estate,Retail REITs,"Chicago, Illinois",2013-12-10,0000895648
215,GIS,General Mills,reports,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",1969-03-31,0000040704
216,GM,General Motors,reports,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",2013-06-06,0001467858
217,GPC,Genuine Parts,reports,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",1973-12-31,0000040987
218,GILD,Gilead Sciences,reports,Health Care,Biotechnology,"Foster City, California",2004-07-01,0000882095
219,GPN,Global Payments Inc,reports,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",2016-04-25,0001123360
220,GS,Goldman Sachs Group,reports,Financials,Investment Banking & Brokerage,"New York, New York",2002-07-22,0000886982
221,GT,Goodyear Tire & Rubber,reports,Consumer Discretionary,Tires & Rubber,"Akron, Ohio",,0000042582
222,GWW,Grainger (W.W.) Inc.,reports,Industrials,Industrial Machinery,"Lake Forest, Illinois",1981-06-30,0000277135
223,HAL,Halliburton Co.,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,0000045012
224,HBI,Hanesbrands Inc,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",2015-03-20,0001359841
225,HOG,Harley-Davidson,reports,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin",,0000793952
226,HRS,Harris Corporation,reports,Information Technology,Communications Equipment,"Melbourne, Florida",2008-09-22,0000202058
227,HIG,Hartford Financial Svc.Gp.,reports,Financials,Property & Casualty Insurance,"Hartford, Connecticut",,0000874766
228,HAS,Hasbro Inc.,reports,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",1984-09-30,0000046080
229,HCA,HCA Holdings,reports,Health Care,Health Care Facilities,"Nashville, Tennessee",2015-01-27,0000860730
230,HCP,HCP Inc.,reports,Real Estate,Health Care REITs,"Long Beach, California",2008-03-31,0000765880
231,HP,Helmerich & Payne,reports,Energy,Oil & Gas Drilling,"Tulsa, Oklahoma[5]",2010-03-01,0000046765
232,HSIC,Henry Schein,reports,Health Care,Health Care Distributors,"Melville, New York",2015-03-17,0001000228
233,HSY,The Hershey Company,reports,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",,0000047111
234,HES,Hess Corporation,reports,Energy,Integrated Oil & Gas,"New York, New York",1984-05-31,0000004447
235,HPE,Hewlett Packard Enterprise,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",2015-11-02,0001645590
236,HLT,Hilton Worldwide Holdings Inc,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",2017-06-19,0001585689
237,HOLX,Hologic,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts",2016-03-30,0000859737
238,HD,Home Depot,reports,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",1988-03-31,0000354950
239,HON,Honeywell Int'l Inc.,reports,Industrials,Industrial Conglomerates,"Morristown, New Jersey",1964-03-31,0000773840
240,HRL,Hormel Foods Corp.,reports,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",2009-03-04,0000048465
241,HST,Host Hotels & Resorts,reports,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",2007-03-20,0001070750
242,HPQ,HP Inc.,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",1974-12-31,0000047217
243,HUM,Humana Inc.,reports,Health Care,Managed Health Care,"Louisville, Kentucky",,0000049071
244,HBAN,Huntington Bancshares,reports,Financials,Regional Banks,"Columbus, Ohio",,0000049196
245,IDXX,IDEXX Laboratories,reports,Health Care,Health Care Equipment,"Westbrook, Maine",2017-01-05,0000874716
246,INFO,IHS Markit Ltd.,reports,Industrials,Research & Consulting Services,"London, United Kingdom",2017-06-02,0001598014
247,ITW,Illinois Tool Works,reports,Industrials,Industrial Machinery,"Glenview, Illinois",1986-02-28,0000049826
248,ILMN,Illumina Inc,reports,Health Care,Life Sciences Tools & Services,"San Diego, California",2015-11-19,0001110803
249,IR,Ingersoll-Rand PLC,reports,Industrials,Industrial Machinery,"Dublin, Ireland",2010-11-17,0001466258
