Date,Open,High,Low,Close,Volume
2010-01-04,48.27,48.82,47.95,48.31,496966
2010-01-05,48.26,48.38,47.42,48.12,621780
2010-01-06,47.99,48.25,47.74,47.93,501104
2010-01-07,47.66,49.25,47.62,48.77,975262
2010-01-08,48.6,49.83,48.46,49.64,890211
2010-01-11,49.91,49.97,49.04,49.43,673766
2010-01-12,48.88,49.11,47.55,48.04,640021
2010-01-13,48.14,48.4,47.78,47.98,895329
2010-01-14,47.92,48.26,47.77,47.8,783893
2010-01-15,47.82,48.07,46.44,46.79,1205987
2010-01-19,46.77,47.44,46.51,46.99,811550
2010-01-20,46.45,46.62,45.59,46.04,1548892
2010-01-21,46.1,46.23,45.08,45.18,1080238
2010-01-22,45.17,46.36,44.65,45.01,926667
2010-01-25,45.74,45.74,43.69,44.54,1037992
2010-01-26,44.55,44.7,43.59,43.69,713244
2010-01-27,43.51,43.57,42.57,43.51,930599
2010-01-28,43.48,44.27,42.71,42.94,1063148
2010-01-29,43.2,43.2,41.33,41.41,1475619
2010-02-01,41.75,42.92,41.67,42.73,1085510
2010-02-02,42.94,45.94,42.92,45.71,1816109
2010-02-03,45.45,46.53,45.07,46.25,1339046
2010-02-04,45.58,45.7,44.46,44.52,1096340
2010-02-05,44.38,44.5,42.48,44.43,1297694
2010-02-08,44.4,45.17,43.7,43.77,864510
2010-02-09,44.42,44.57,43.45,44.21,690914
2010-02-10,44.16,44.45,43.17,43.88,678553
2010-02-11,43.86,44.66,43.52,44.51,710925
2010-02-12,43.91,44.57,43.53,44.54,782746
2010-02-16,45.01,45.75,44.39,45.7,949263
2010-02-17,45.86,46.6,45.6,46.14,854655
2010-02-18,46.22,46.65,45.51,46.59,560364
2010-02-19,46.51,47.21,46.43,46.78,652719
2010-02-22,46.92,47.23,46.6,46.8,720981
2010-02-23,46.77,47.35,46.48,46.69,1020597
2010-02-24,46.84,47.72,46.18,47.34,906365
2010-02-25,46.41,47.86,45.91,47.78,895864
2010-02-26,48.92,52.09,48.92,51.58,3071661
2010-03-01,52.03,52.94,51.72,52.93,1118592
2010-03-02,53.09,53.43,52.09,52.24,1226636
2010-03-03,52.51,53.35,52.35,53.11,1013752
2010-03-04,53.12,53.22,52.34,52.92,614494
2010-03-05,53.37,53.98,52.96,53.88,746676
2010-03-08,53.76,54.87,53.66,54.71,733295
2010-03-09,54.5,55.07,54.38,54.55,917392
2010-03-10,54.53,55.21,54.14,54.27,824657
2010-03-11,53.97,54.78,53.74,54.29,558897
2010-03-12,54.62,54.62,53.38,53.93,804359
2010-03-15,53.95,54.3,53.12,54.18,506474
2010-03-16,54.42,54.58,53.59,54.06,630799
2010-03-17,54.16,55.0,54.1,54.42,499898
2010-03-18,54.49,55.0,54.07,54.19,394947
2010-03-19,54.44,54.48,52.98,53.03,832280
2010-03-22,52.57,54.58,52.57,54.29,511599
2010-03-23,54.46,55.22,53.54,54.19,496129
2010-03-24,53.88,54.51,53.75,53.86,441002
2010-03-25,54.38,54.8,52.89,53.02,753456
2010-03-26,53.41,53.78,52.69,53.13,379446
2010-03-29,53.63,54.99,53.2,54.99,952113
2010-03-30,54.94,55.52,54.08,54.25,497361
2010-03-31,54.15,55.11,54.03,54.38,631733
2010-04-01,54.96,55.09,54.22,54.73,344999
2010-04-05,55.03,55.3,54.48,54.79,617517
2010-04-06,54.42,54.78,53.8,54.27,525732
2010-04-07,54.18,54.54,52.76,53.21,485738
2010-04-08,52.86,54.09,52.33,53.96,344045
2010-04-09,54.15,55.22,53.37,55.12,419580
2010-04-12,55.45,56.72,54.86,56.45,1707652
2010-04-13,56.47,57.49,56.31,57.32,646634
2010-04-14,57.71,59.9,57.65,59.68,1382274
2010-04-15,59.38,60.37,58.67,58.69,1336690
2010-04-16,58.07,58.07,55.99,57.2,898841
2010-04-19,58.3,59.7,57.47,58.78,933409
